Economy,Code,,Region
Moldova,MDA,,Europe & North America
Monaco,MCO,,Europe & North America
Mongolia,MNG,,East Asia & Pacific
Montenegro,MNE,,Europe & North America
Morocco,MAR,,Middle East & North Africa
Mozambique,MOZ,,Sub-Saharan Africa
Myanmar,MMR,,East Asia & Pacific
Namibia,NAM,,Sub-Saharan Africa
Nauru,NRU,,East Asia & Pacific
Nepal,NPL,,Central & South Asia
Netherlands,NLD,,Europe & North America
New Caledonia,NCL,,East Asia & Pacific
New Zealand,NZL,,East Asia & Pacific
Nicaragua,NIC,,Latin America & Caribbean
Niger,NER,,Sub-Saharan Africa
Nigeria,NGA,,Sub-Saharan Africa
Northern Mariana Islands,MNP,,East Asia & Pacific
Norway,NOR,,Europe & North America
Oman,OMN,,Middle East & North Africa
Pakistan,PAK,,Central & South Asia
Palau,PLW,,East Asia & Pacific
Panama,PAN,,Latin America & Caribbean
Papua New Guinea,PNG,,East Asia & Pacific
Paraguay,PRY,,Latin America & Caribbean
Peru,PER,,Latin America & Caribbean
Philippines,PHL,,East Asia & Pacific
Poland,POL,,Europe & North America
Portugal,PRT,,Europe & North America
Puerto Rico,PRI,,Latin America & Caribbean
Qatar,QAT,,Middle East & North Africa
Romania,ROM,,Europe & North America
Russian Federation,RUS,,Europe & North America
Rwanda,RWA,,Sub-Saharan Africa
Samoa,WSM,,East Asia & Pacific
San Marino,SMR,,Europe & North America
São Tomé and Principe,STP,,Sub-Saharan Africa
Saudi Arabia,SAU,,Middle East & North Africa
Senegal,SEN,,Sub-Saharan Africa
Serbia,SRB,,Europe & North America
Seychelles,SYC,,Sub-Saharan Africa
Sierra Leone,SLE,,Sub-Saharan Africa
Singapore,SGP,,East Asia & Pacific
Sint Maarten (Dutch part),SXM,,Latin America & Caribbean
Slovak Republic,SVK,,Europe & North America
Slovenia,SVN,,Europe & North America
Solomon Islands,SLB,,East Asia & Pacific
Somalia,SOM,,Sub-Saharan Africa
South Africa,ZAF,,Sub-Saharan Africa
South Sudan,SSD,,Sub-Saharan Africa
Spain,ESP,,Europe & North America
Sri Lanka,LKA,,Central & South Asia
St. Kitts and Nevis,KNA,,Latin America & Caribbean
St. Lucia,LCA,,Latin America & Caribbean
St. Martin (French part),MAF,,Latin America & Caribbean
St. Vincent and the Grenadines,VCT,,Latin America & Caribbean
Sudan,SDN,,Sub-Saharan Africa
Suriname,SUR,,Latin America & Caribbean
Swaziland,SWZ,,Sub-Saharan Africa
Sweden,SWE,,Europe & North America
Switzerland,CHE,,Europe & North America
Syrian Arab Republic,SYR,,Middle East & North Africa
"Taiwan, China",TWN,,East Asia & Pacific
Tajikistan,TJK,,Central & South Asia
Tanzania,TZA,,Sub-Saharan Africa
Thailand,THA,,East Asia & Pacific
Timor-Leste,TMP,,East Asia & Pacific
Togo,TGO,,Sub-Saharan Africa
Tonga,TON,,East Asia & Pacific
Trinidad and Tobago,TTO,,Latin America & Caribbean
Tunisia,TUN,,Middle East & North Africa
Turkey,TUR,,Europe & North America
Turkmenistan,TKM,,Central & South Asia
Turks and Caicos Islands,TCA,,Latin America & Caribbean
Tuvalu,TUV,,East Asia & Pacific
Uganda,UGA,,Sub-Saharan Africa
Ukraine,UKR,,Europe & North America
United Arab Emirates,ARE,,Middle East & North Africa
United Kingdom,GBR,,Europe & North America
United States,USA,,Europe & North America
Uruguay,URY,,Latin America & Caribbean
Uzbekistan,UZB,,Central & South Asia
Vanuatu,VUT,,East Asia & Pacific
"Venezuela, RB",VEN,,Latin America & Caribbean
Vietnam,VNM,,East Asia & Pacific
Virgin Islands (U.S.),VIR,,Latin America & Caribbean
West Bank and Gaza,WBG,,Middle East & North Africa
"Yemen, Rep.",YEM,,Middle East & North Africa
Zambia,ZMB,,Sub-Saharan Africa
Zimbabwe,ZWE,,Sub-Saharan Africa
